Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,MVP
185,Eddie Johnson,SF,37,HOU,24,2,25.3,4.2,9.4,0.447,1.7,4.3,0.388,2.5,5.1,0.496,0.535,1.5,1.7,0.854,1,3.1,4.1,1.5,0.4,0,1.3,2,11.5,1996-97,FALSE
186,Ervin Johnson,C,29,DEN,82,82,31.7,3,5.7,0.52,0,0,0,3,5.7,0.523,0.52,1.2,1.9,0.615,2.8,8.3,11.1,0.9,0.8,2.8,1.4,3.5,7.1,1996-97,FALSE
187,Kevin Johnson,PG,30,PHO,70,70,38,6.3,12.7,0.496,1.3,2.9,0.441,5,9.8,0.512,0.546,6.3,7.4,0.852,0.8,2.8,3.6,9.3,1.5,0.2,3.1,2,20.1,1996-97,FALSE
188,Larry Johnson,SF,27,NYK,76,76,34.4,4.9,9.7,0.512,0.4,1.4,0.324,4.5,8.3,0.543,0.535,2.5,3.6,0.693,2.2,3,5.2,2.3,0.8,0.5,1.8,3.3,12.8,1996-97,FALSE
189,Charles Jones,PF,39,HOU,12,0,7.8,0.2,0.4,0.4,0,0,,0.2,0.4,0.4,0.4,0,0,,0.4,0.7,1.1,0.3,0.2,0.3,0,0.7,0.3,1996-97,FALSE
190,Eddie Jones,SG,25,LAL,80,80,37.5,5.9,13.5,0.438,1.9,4.9,0.391,4,8.7,0.464,0.508,3.5,4.2,0.819,1.1,3,4.1,3.4,2.4,0.6,2.1,2.8,17.2,1996-97,FALSE
191,Popeye Jones,PF,26,TOR,79,61,30.6,3.3,6.8,0.48,0,0.2,0.077,3.3,6.6,0.49,0.481,1.3,1.5,0.818,3.4,5.2,8.6,1.1,0.7,0.5,1.5,3.4,7.8,1996-97,FALSE
192,Michael Jordan*,SG,33,CHI,82,82,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2,1.9,29.6,1996-97,FALSE
193,Reggie Jordan,SG,29,TOT,19,0,6.8,0.8,1.4,0.615,0,0,,0.8,1.4,0.615,0.615,0.4,0.9,0.471,0.6,0.8,1.4,0.6,0.4,0.2,0.4,0.8,2.1,1996-97,FALSE
193,Reggie Jordan,SG,29,POR,9,0,11,0.9,1.8,0.5,0,0,,0.9,1.8,0.5,0.5,0.4,1.1,0.4,1.2,1.3,2.6,1.2,0.6,0.3,0.7,1.4,2.2,1996-97,FALSE
193,Reggie Jordan,SG,29,MIN,10,0,3.1,0.8,1,0.8,0,0,,0.8,1,0.8,0.8,0.4,0.7,0.571,0,0.4,0.4,0.1,0.2,0,0.2,0.2,2,1996-97,FALSE
194,Adam Keefe,C,26,UTA,62,0,14.8,1.3,2.6,0.513,0,0,0,1.3,2.6,0.516,0.513,1.1,1.7,0.689,1.2,2.3,3.5,0.5,0.5,0.2,0.7,1.6,3.8,1996-97,FALSE
195,Shawn Kemp,PF,27,SEA,81,75,34,6.5,12.7,0.51,0.1,0.4,0.364,6.3,12.3,0.515,0.516,5.6,7.5,0.742,3.4,6.6,10,1.9,1.5,1,3.5,4,18.7,1996-97,FALSE
196,Tim Kempton,PF,33,SAS,10,0,5.9,0.1,0.5,0.2,0,0,,0.1,0.5,0.2,0.2,0.2,0.2,1,0.3,0.5,0.8,0.2,0.1,0.1,0.7,0.4,0.4,1996-97,FALSE
197,Steve Kerr,PG,31,CHI,82,0,22.7,3,5.7,0.533,1.3,2.9,0.464,1.7,2.8,0.604,0.651,0.7,0.8,0.806,0.4,1.2,1.6,2.1,0.8,0,0.5,1.2,8.1,1996-97,FALSE
198,Jerome Kersey,SF,34,LAL,70,44,25.2,2.8,6.4,0.432,0.2,0.9,0.262,2.5,5.5,0.461,0.451,1,1.7,0.602,1.6,3.6,5.2,1.3,1.7,0.7,1.1,3.1,6.8,1996-97,FALSE
199,Jason Kidd*,PG,23,TOT,55,45,35.7,3.9,9.6,0.403,1.1,3,0.37,2.8,6.6,0.418,0.46,2,3,0.679,1.2,3.4,4.5,9,2.3,0.4,2.6,2.1,10.9,1996-97,FALSE
